City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.06,light rain,-9.8,-139.0333,Villa Enata
5,Tezu,IN,73.65,broken clouds,27.9167,96.1667,Circuit House
6,Young,UY,72.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
7,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Butaritari,KI,81.41,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Sao Filipe,CV,78.73,clear sky,14.8961,-24.4956,Hotel Xaguate
12,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
13,Souillac,MU,73.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Scoop Guest House
23,Faanui,PF,80.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Victoria,HK,72.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
30,Rikitea,PF,75.63,clear sky,-23.1203,-134.9692,People ThankYou
32,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Bandar-E Lengeh,IR,85.51,clear sky,26.5579,54.8807,کافی نت پارس
36,Mindelo,CV,80.15,clear sky,16.8901,-24.9804,Hotel Gaudi
39,Manokwari,ID,79.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
41,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
42,Sakakah,SA,76.82,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
53,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
59,Inirida,CO,89.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
60,Kieta,PG,80.67,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
64,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
65,Tessalit,ML,87.46,clear sky,20.1986,1.0114,
66,Hilo,US,78.28,moderate rain,19.7297,-155.09,
68,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,
69,Georgetown,MY,78.89,overcast clouds,5.4112,100.3354,
81,Bhan,PK,81.43,clear sky,26.5583,67.7214,
82,Awbari,LY,79.12,clear sky,26.5921,12.7805,
84,Black River,JM,85.98,overcast clouds,18.0264,-77.8487,
85,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,
86,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,
87,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,
89,Xalpatlahuac,MX,74.23,overcast clouds,17.4667,-98.6167,
90,Vila Velha,BR,73.33,overcast clouds,-20.3297,-40.2925,
99,Bandarbeyla,SO,77.38,broken clouds,9.4942,50.8122,
100,Kingston,JM,86.16,overcast clouds,17.997,-76.7936,
104,Kapaa,US,80.58,light rain,22.0752,-159.319,
107,Porto Novo,BJ,78.93,light rain,6.4965,2.6036,
112,Mackay,AU,75.04,scattered clouds,-21.15,149.2,
113,Limbang,MY,77.11,overcast clouds,4.75,115.0,
115,Tucuman,AR,82.4,few clouds,-26.8241,-65.2226,
117,Meulaboh,ID,75.96,light rain,4.1363,96.1285,
120,Merauke,ID,76.91,broken clouds,-8.4667,140.3333,
125,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,
128,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,
129,Dingle,PH,75.97,few clouds,10.9995,122.6711,
133,Wahiawa,US,80.92,few clouds,21.5028,-158.0236,
134,Baculin,PH,78.85,overcast clouds,7.4525,126.5842,
135,Morgan City,US,73.99,clear sky,29.6994,-91.2068,
138,Nouadhibou,MR,73.69,clear sky,20.931,-17.0347,
141,Lompoc,US,76.78,broken clouds,34.6391,-120.4579,
143,Isangel,VU,77.41,overcast clouds,-19.55,169.2667,
145,San Gabriel,US,85.93,clear sky,34.0961,-118.1058,
147,Aswan,EG,85.3,clear sky,24.0934,32.907,
149,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,
150,Bafoulabe,ML,82.22,scattered clouds,13.8065,-10.8321,
153,Aloleng,PH,79.86,broken clouds,16.1307,119.7824,
157,Farafangana,MG,73.49,clear sky,-22.8167,47.8333,
158,Sokoni,TZ,77.9,clear sky,-6.4333,39.55,
160,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,
162,Lai,TD,74.98,moderate rain,9.3952,16.2989,
166,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,
168,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
170,Caravelas,BR,78.62,scattered clouds,-17.7125,-39.2481,
173,Sao Desiderio,BR,88.88,broken clouds,-12.3633,-44.9733,
174,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
175,Nabire,ID,74.43,overcast clouds,-3.3667,135.4833,
179,Dondo,MZ,76.14,clear sky,-19.6094,34.7431,
183,Coffeyville,US,79.25,clear sky,37.0373,-95.6164,
184,Gull Lake,CA,75.74,few clouds,50.1001,-108.4847,
186,Sorong,ID,79.83,overcast clouds,-0.8833,131.25,
187,Kavieng,PG,82.44,few clouds,-2.5744,150.7967,
189,San Luis,AR,73.26,scattered clouds,-33.295,-66.3356,
191,Senanga,ZM,81.61,broken clouds,-16.1167,23.2667,
193,Macas,EC,80.35,light rain,-2.3167,-78.1167,
194,Morehead,US,70.14,clear sky,37.2711,-87.1764,
195,Mitsamiouli,KM,76.96,clear sky,-11.3847,43.2844,
196,Wanning,CN,77.61,moderate rain,18.8003,110.3967,
199,Sawakin,SD,84.81,clear sky,19.1059,37.3321,
202,Xuddur,SO,75.58,overcast clouds,4.1213,43.8894,
203,Shima,CN,73.22,light rain,24.4478,117.8111,
207,Klaeng,TH,77.95,moderate rain,12.7797,101.6483,
212,San Policarpo,PH,81.32,few clouds,12.1791,125.5072,
214,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,
216,Dwarka,IN,81.1,overcast clouds,22.2394,68.9678,
217,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,
218,Praya,CV,82.94,few clouds,14.9215,-23.5087,
219,Manoel Urbano,BR,87.3,overcast clouds,-8.8389,-69.2597,
220,Faridkot,IN,73.06,overcast clouds,30.6667,74.75,
222,Half Moon Bay,US,78.21,overcast clouds,37.4636,-122.4286,
223,Mineiros,BR,81.64,overcast clouds,-17.5694,-52.5511,
224,Porecatu,BR,73.47,overcast clouds,-22.7558,-51.3792,
225,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,
226,Mogadishu,SO,79.09,scattered clouds,2.0371,45.3438,
227,Camopi,GF,76.35,overcast clouds,3.1655,-52.3158,
228,Cockburn Town,TC,82.85,scattered clouds,21.4612,-71.1419,
229,Wau,SS,75.38,broken clouds,7.7029,27.9953,
231,Esna,EG,84.15,clear sky,25.2934,32.554,
234,Ambilobe,MG,74.59,clear sky,-13.2,49.05,
242,Pacifica,US,78.03,broken clouds,37.6138,-122.4869,
245,Zhuhai,CN,71.98,scattered clouds,22.2769,113.5678,
246,Cuamba,MZ,79.97,scattered clouds,-14.8031,36.5372,
249,Santa Marta,CO,81.1,overcast clouds,11.2408,-74.199,
252,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,
257,Cururupu,BR,83.53,scattered clouds,-1.8283,-44.8683,
258,La Verne,US,83.64,clear sky,34.1008,-117.7678,
262,Riyadh,SA,82.44,clear sky,24.6877,46.7219,
265,San Juan,AR,76.78,clear sky,-31.5375,-68.5364,
266,Sao Felix Do Xingu,BR,81.0,overcast clouds,-6.6447,-51.995,
268,Kpandu,GH,77.22,light rain,6.9954,0.2931,
269,Maningrida,AU,76.14,overcast clouds,-12.0667,134.2667,
271,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,
279,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,
280,Kikwit,CD,72.93,light rain,-5.041,18.8162,
281,Mitu,CO,83.62,overcast clouds,1.1983,-70.1733,
285,Lakota,CI,73.98,scattered clouds,5.8528,-5.6883,
286,Ibra,OM,77.22,clear sky,22.6906,58.5334,
287,Sola,VU,81.59,broken clouds,-13.8833,167.55,
290,Acapulco,MX,86.05,scattered clouds,16.8634,-99.8901,
291,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,
293,Canutama,BR,76.93,overcast clouds,-6.5339,-64.3831,
295,Arrecife,ES,75.18,clear sky,28.963,-13.5477,
296,Winnemucca,US,71.65,clear sky,40.973,-117.7357,
300,Boende,CD,71.53,overcast clouds,-0.2167,20.8667,
304,Poum,NC,75.56,overcast clouds,-20.2333,164.0167,
306,Port Blair,IN,80.29,overcast clouds,11.6667,92.75,
307,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,
309,Bajos De Haina,DO,89.53,scattered clouds,18.4154,-70.0332,
312,Chandbali,IN,76.41,heavy intensity rain,20.7833,86.7667,
316,Machali,CL,72.68,clear sky,-34.1833,-70.6667,
318,Buala,SB,80.58,broken clouds,-8.145,159.5921,
323,Namatanai,PG,79.99,overcast clouds,-3.6667,152.4333,
324,Ixtapa,MX,88.83,clear sky,20.7,-105.2,
326,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,
327,Senador Jose Porfirio,BR,88.47,broken clouds,-2.5908,-51.9542,
331,Estelle,US,75.99,clear sky,29.8458,-90.1067,
332,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,
334,Saint-Georges,GD,84.58,few clouds,12.0564,-61.7485,
335,Gasa,PS,73.9,scattered clouds,31.5,34.4667,
338,Marzuq,YE,76.82,overcast clouds,14.4,46.4667,
343,Guerrero Negro,MX,78.13,overcast clouds,27.9769,-114.0611,
344,Marsa Matruh,EG,70.77,clear sky,31.3525,27.2453,
345,Caranavi,BO,74.1,overcast clouds,-15.8167,-67.55,
346,Biak,ID,76.78,broken clouds,-0.9131,122.8766,
347,Wewak,PG,78.62,overcast clouds,-3.5534,143.6268,
348,Waddan,LY,74.21,clear sky,29.1614,16.139,
350,Finschhafen,PG,77.67,overcast clouds,-6.6024,147.8681,
353,Amuntai,ID,74.19,overcast clouds,-2.4177,115.2494,
359,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,
360,Pacific Grove,US,74.57,clear sky,36.6177,-121.9166,
365,Kutum,SD,80.26,clear sky,14.2,24.6667,
369,Saint-Joseph,RE,70.16,few clouds,-21.3667,55.6167,
370,Kabala,SL,74.37,broken clouds,9.5833,-11.55,
371,Hambantota,LK,79.9,broken clouds,6.1241,81.1185,
372,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,
373,George Town,MY,78.89,overcast clouds,5.4112,100.3354,
377,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,
379,Sinjar,IQ,70.66,scattered clouds,36.3209,41.8754,
386,Gladstone,AU,75.13,broken clouds,-23.85,151.25,
389,Kodinar,IN,78.01,overcast clouds,20.7903,70.7031,
390,Angoche,MZ,77.74,clear sky,-16.2325,39.9086,
392,Montepuez,MZ,71.26,clear sky,-13.1256,38.9997,
393,Carutapera,BR,83.71,few clouds,-1.195,-46.02,
394,Curumani,CO,82.4,overcast clouds,9.1999,-73.5427,
395,Benguela,AO,73.87,broken clouds,-12.5763,13.4055,
399,Bezerros,BR,76.5,overcast clouds,-8.2333,-35.7969,
400,Kasangulu,CD,80.82,light rain,-4.5911,15.1708,
403,Carballo,ES,70.56,overcast clouds,43.213,-8.691,
404,Moroni,KM,76.3,clear sky,-11.7022,43.2551,
412,Mbandaka,CD,74.53,overcast clouds,0.0487,18.2603,
414,Puerto Leguizamo,CO,81.1,overcast clouds,-0.1934,-74.7819,
418,Malpe,IN,78.1,overcast clouds,13.35,74.7167,
419,Edgewater,US,85.24,scattered clouds,28.9889,-80.9023,
420,Sungairaya,ID,77.94,overcast clouds,0.7,108.9,
421,Hoi An,VN,76.96,moderate rain,15.8794,108.335,
426,Kaabong,UG,73.94,scattered clouds,3.4836,34.1492,
427,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,
430,Prescott,US,72.66,clear sky,34.54,-112.4685,
431,Cabo Rojo,PR,88.23,moderate rain,18.0866,-67.1457,
432,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,
433,Guanica,PR,88.48,scattered clouds,17.9716,-66.908,
436,Hirara,JP,75.49,overcast clouds,24.8,125.2833,
438,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,
439,Mandali,IQ,77.22,scattered clouds,33.7499,45.5541,
440,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,
441,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,
445,Poso,ID,77.02,broken clouds,-1.3959,120.7524,
446,Kidal,ML,88.86,clear sky,18.4411,1.4078,
449,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,
451,Bairiki,KI,84.2,few clouds,1.3292,172.9752,
456,Orange Walk,BZ,87.66,scattered clouds,17.8333,-88.8333,
457,La Palma,US,86.67,clear sky,33.8464,-118.0467,
459,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,
466,Filingue,NE,88.36,overcast clouds,14.3521,3.3168,
467,Bosobolo,CD,73.0,scattered clouds,4.1833,19.9,
471,Harlingen,US,82.2,clear sky,26.1906,-97.6961,
472,Praia,CV,82.94,few clouds,14.9215,-23.5087,
473,Alexandria,EG,73.89,clear sky,31.2156,29.9553,
476,San Pedro,PH,80.35,overcast clouds,14.35,121.0167,
477,Labuhan,ID,81.27,broken clouds,-6.8844,112.2051,
480,Puerto Del Rosario,ES,74.88,clear sky,28.5004,-13.8627,
481,Kibala,TD,75.29,overcast clouds,9.1104,18.3463,
484,San Quintin,MX,72.91,overcast clouds,30.4833,-115.95,
485,Itaituba,BR,75.47,light rain,-4.2761,-55.9836,
486,Kandrian,PG,76.84,light rain,-6.2167,149.55,
491,Maxixe,MZ,74.12,clear sky,-23.8597,35.3472,
496,Kailua,US,84.18,broken clouds,21.4022,-157.7394,
497,Denpasar,ID,78.46,few clouds,-8.65,115.2167,
504,Mazamari,PE,86.49,overcast clouds,-11.3258,-74.5308,
505,Cascais,PT,70.5,fog,38.6979,-9.4215,
507,Kyaikkami,MM,77.85,overcast clouds,16.08,97.5675,
509,Azul,AR,70.34,light rain,-36.777,-59.8585,
510,Kashan,IR,73.65,clear sky,33.9831,51.4364,
513,Marsh Harbour,BS,81.01,clear sky,26.5412,-77.0636,
514,Luba,GQ,79.29,broken clouds,3.4568,8.5547,
515,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,
516,Bubaque,GW,82.29,moderate rain,11.2833,-15.8333,
517,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,
518,Veraval,IN,79.79,overcast clouds,20.9,70.3667,
520,Sivagiri,IN,77.47,overcast clouds,9.3333,77.4333,
524,Tura,IN,72.88,overcast clouds,25.5198,90.2201,
525,Srivardhan,IN,78.21,clear sky,18.0333,73.0167,
526,Tupiza,BO,77.72,broken clouds,-21.45,-65.7167,
528,Mabaruma,GY,85.05,overcast clouds,8.2,-59.7833,
532,Saint Augustine,US,79.03,few clouds,29.8947,-81.3145,
535,Ilebo,CD,76.17,overcast clouds,-4.3167,20.5833,
538,Harper,LR,78.48,scattered clouds,4.375,-7.7169,
542,Niamey,NE,89.46,broken clouds,13.5137,2.1098,
544,Acarau,BR,82.51,clear sky,-2.8856,-40.12,
547,Sibolga,ID,74.35,overcast clouds,1.7427,98.7792,
552,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,
554,Kuching,MY,77.22,scattered clouds,1.55,110.3333,
556,Labuan,MY,77.16,broken clouds,5.2767,115.2417,
563,Adrar,MR,89.1,overcast clouds,20.5022,-10.0711,
564,Sur,OM,80.26,clear sky,22.5667,59.5289,
566,Naze,JP,70.07,overcast clouds,28.3667,129.4833,
570,Avera,US,71.71,clear sky,33.194,-82.5271,
571,Gigmoto,PH,79.39,light rain,13.7796,124.39,
572,Wajid,SO,78.03,broken clouds,3.8093,43.2471,
573,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,
575,Carupano,VE,87.87,overcast clouds,10.6678,-63.2585,
578,Santa Ines,BR,84.87,broken clouds,-3.6667,-45.38,
580,Menongue,AO,70.16,few clouds,-14.6585,17.691,
582,Vao,NC,72.72,clear sky,-22.6667,167.4833,
583,Samfya,ZM,79.45,broken clouds,-11.3649,29.5565,
585,Thinadhoo,MV,82.4,overcast clouds,0.5333,72.9333,
587,Shadegan,IR,85.69,clear sky,30.6497,48.6647,
591,Axim,GH,79.5,few clouds,4.8699,-2.2405,
594,Yeppoon,AU,73.18,light rain,-23.1333,150.7333,
600,Rapid Valley,US,78.66,clear sky,44.0625,-103.1463,
601,Agutaya,PH,83.46,clear sky,11.148,120.9417,
602,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,
603,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,
604,Sidhi,IN,77.13,overcast clouds,24.4167,81.8833,
606,Islamkot,PK,83.3,clear sky,24.6997,70.177,
607,Poladpur,IN,73.26,clear sky,17.9802,73.466,
609,Garowe,SO,77.52,scattered clouds,8.4054,48.4845,
611,Cocobeach,GA,80.53,light rain,1.0002,9.5823,
615,Porto Seguro,BR,79.32,few clouds,-16.4497,-39.0647,
616,Kloulklubed,PW,84.16,overcast clouds,7.0419,134.2556,
620,Malumfashi,NG,76.19,broken clouds,11.7853,7.6218,
623,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,
625,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,
627,Tautira,PF,86.02,light rain,-17.7333,-149.15,
630,West Fargo,US,70.02,clear sky,46.875,-96.9004,
631,Abu Kamal,SY,73.98,clear sky,34.4506,40.9171,
634,Camachile,PH,81.18,scattered clouds,14.6436,120.5808,
635,Yarada,IN,80.92,mist,17.65,83.2667,
636,Oranjestad,AW,89.55,few clouds,12.524,-70.027,
639,Pedernales,DO,83.55,overcast clouds,18.0384,-71.744,
641,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,
643,Emerald,AU,72.99,scattered clouds,-23.5333,148.1667,
645,Playas,EC,74.93,broken clouds,-2.6333,-80.3833,
647,La Union,PE,80.98,broken clouds,-5.4,-80.75,
648,Coro,VE,85.87,scattered clouds,11.4045,-69.6734,
651,Laguna,US,79.23,clear sky,38.421,-121.4238,
653,Aripuana,BR,85.8,broken clouds,-9.1667,-60.6333,
655,Port-Gentil,GA,78.35,broken clouds,-0.7193,8.7815,
656,Palu,ID,75.11,few clouds,-0.8917,119.8707,
657,Kribi,CM,77.83,light rain,2.95,9.9167,
659,Catuday,PH,79.12,overcast clouds,16.2923,119.8062,
661,Dodge City,US,76.68,clear sky,37.7528,-100.0171,
662,Omboue,GA,76.51,overcast clouds,-1.5746,9.2618,
663,Auki,SB,77.65,broken clouds,-8.7676,160.7034,
667,Najran,SA,70.97,clear sky,17.4924,44.1277,
671,Ippy,CF,71.42,broken clouds,6.2679,21.2247,
675,Pueblo Bello,CO,85.05,overcast clouds,8.2041,-76.526,
677,Inhambane,MZ,74.71,clear sky,-23.865,35.3833,
678,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,
679,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,
680,Dokri,PK,76.96,clear sky,27.3743,68.0967,
682,Teofilo Otoni,BR,79.54,overcast clouds,-17.8575,-41.5053,
684,Dire Dawa,ET,72.57,scattered clouds,9.5931,41.8661,
689,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,
690,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,
702,Mehtar Lam,AF,70.72,clear sky,34.6714,70.2094,
711,Kasane,BW,84.7,broken clouds,-17.8167,25.15,The Old House
